,,
,CANTIDAD,BODEGAS
,1,administracion  suministros piscilago
,2,aire libre suministros piscilago
,3,almacen general
,4,autoservicios cascada 
,5,autoservicios las fuentes
,6,autoservicio mirador
,7,bodega de recreacion suministros
,8,cafeteria acuario suministros
,9,caf. Velas suministros
,10,cafeteria acuario suministros
,11,caf.velas
,12,cocina mirador suministros
,13,cocina principal suministros
,14,enfermeria suministros
,15,kiosco 2 suministros
,16,kiosco 3 suministros 
,17,kiosco 1 piscilago
,18,kiosco 2 piscilago
,19,kiosco 3 piscilago
,20,kiosco bosque suministros
,21,kiosco bosques
,22,kiosco cascada suministros
,23,kiosco parqueadero piscilago
,24,kiosco paqueadero suministros piscilago
,25,movil 3 oasis suministros
,26,movil 4 taquilla suministros
,27,movil fonda suministros
,28,movil mirador suministros
,29,movil fonda 
,30,movil mirador   
,31,movil oasis
,32,movil taquilla
,33,panaderia
,34,panaderia suministros
,35,piscina suministros
,36,rest. Nutrias suministros
,37,restaurante cascada suministros
,38,rest. Fonda
,39,restaurante fonda suministros
,40,restaurante nutrias
,41,suministro aseo 
,42,tienda general suministros
,43,tienda mirador suministros
,44,tienda principal suministros
,45,tienda taquilla suministros
,46,zoologico suministros
,47,zoologico piscilago
,48,Tienda souvenir pisciloca suministros
